Time,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
D10,85.83523821,73.37019431,70.23411481,69.37519784,80.42998699,64.96544508,83.0912578,87.49904256,85.24078922,90.90261321,145.5671229,88.51925182,80.15106071,133.0872125,124.0828836,130.6350902,113.2740498,103.7680719,107.8318385,119.4453157,107.2273296,109.0770647,107.7891621,121.5744771,86.42422678,103.2550551,103.9953003,117.4341712,99.66180013,105.2438669,105.1572515,114.4716561,133.873399,105.8473563,131.1823653,123.6530781,125.32163,114.1426774,107.2052582,115.9031622,133.7971399,105.32179,125.7763409,118.8095448,100.894093,142.5176838,135.7603773,124.183846,109.4544726,101.5438646,104.8384304,117.1225867,109.7080431,129.5822717,112.2320508,108.3974579,117.6803304,128.4500256,112.7951458,105.7916792,128.7948322,112.9785568,120.0292855,123.2507612,130.3310952,105.9357097,143.256753,138.3297533,134.7600822,140.203614,129.7557453,142.0503003,134.6740927,119.9081697,121.3420806
D13,67.22435717,72.17954238,69.35034659,73.27185085,62.87577809,71.32110994,81.02372215,82.98529783,94.06936802,103.1374458,107.3166845,101.6379061,84.94444059,100.4551237,107.6409485,128.8842984,111.9850111,107.5993509,118.5277803,99.94043436,108.1118332,102.1166312,115.1356907,116.6243603,111.034374,110.8906369,112.4297284,113.4556323,123.6051755,123.2429908,107.3129535,123.5345326,144.6757584,111.6791547,124.8000921,107.6744861,114.6671696,121.1779431,100.9214428,102.8520412,101.2940386,94.77124977,103.9966547,119.194013,118.7000776,124.9014523,124.0103493,120.1808131,129.0077348,108.9910868,104.9547179,112.2307543,114.6894815,109.5443974,103.0638706,129.6252893,104.4951903,122.4366865,118.556164,113.4927158,119.5642086,116.5286726,120.2128585,136.7507711,134.9978049,123.9356013,123.7418488,132.0351419,152.4585749,115.265516,107.1201468,108.4540712,95.93670158,114.3615913,125.5322537
D16,89.16707502,79.87056919,78.09753721,81.05406591,75.96754334,87.35055944,93.4231047,78.96731787,99.23810008,98.89461182,105.9377778,120.7487908,87.40689843,123.1510138,112.7639157,100.8056387,104.4084341,92.28851436,107.11175,95.27885302,95.75576096,97.32007014,100.5865102,108.5150157,108.1531293,122.148042,107.8412837,120.4371086,110.5633121,115.9739155,111.807394,98.81668767,110.283837,118.5765727,110.7571859,104.3620416,97.12254608,90.70707768,104.8004747,110.2187592,104.6314569,108.6366954,104.9399196,99.70231318,107.0391623,126.1918948,135.2214486,118.0181126,138.0509248,90.42240114,108.1951237,87.19560887,105.9444069,104.3853445,98.41108549,107.1742427,117.1654161,130.1461774,107.3791964,99.97338386,102.4243455,106.9368465,132.9636499,103.1351362,96.02360883,120.1132958,142.6047726,121.7612019,187.1716091,129.340203,122.9894888,135.5828524,126.0267328,131.8516853,78.21805316
D19,76.958419,76.52750991,89.3032876,88.94907813,79.76805036,90.90714321,84.63053225,86.44813113,79.96881381,72.09100322,116.9377365,115.0309242,102.65624,114.7503273,98.43575569,117.443223,128.3062103,107.0630493,127.4759953,120.0322797,92.54975119,103.1319702,100.730582,111.3298092,81.34258677,115.8637445,93.07333918,94.21871298,107.8856883,126.1901058,101.8115953,93.70816122,96.29987229,119.3760084,99.33092441,107.7009013,80.31998334,86.04417526,114.7027613,115.9622518,94.46685951,114.5652388,94.58355696,112.990568,126.9012667,108.0183597,132.1714728,141.3890058,128.9537993,115.407385,120.9173182,111.9448254,115.5969394,109.2709578,135.6640292,123.346835,105.4607299,127.976074,150.0855137,129.0613729,126.9464955,136.4243544,164.0629178,137.0659051,148.0202398,164.7068173,138.674122,143.1883614,181.1651139,144.8643402,169.1294584,134.11349,136.5953623,137.5630915,95.52282615
T10,128.9276905,112.1366481,93.74027798,114.3669403,91.89442386,87.21954016,98.78978608,128.3367617,104.939143,97.52171673,82.47482778,80.93376967,95.54318275,112.6702363,77.55009737,88.10767721,110.3926288,109.2485752,123.3830536,90.49125061,97.35704422,91.20599658,108.2913833,127.9694152,86.90050946,93.79849548,89.40623187,87.92622282,99.96290265,88.51357075,101.8388929,107.5513367,118.2037969,124.4362599,94.37750103,108.0528257,105.9230234,149.3203764,102.8804395,132.5704601,131.8436852,120.1943101,137.1518689,100.7524534,118.8945356,118.6926821,128.2336689,167.1505483,112.9650493,180.7973026,120.3823985,140.6196954,159.2391392,147.9524057,107.9564359,112.4985137,142.89545,126.1846563,95.74665044,88.78628265,129.3832971,94.66759356,119.6180887,101.6770172,98.85621196,152.2377655,178.9725729,117.7543123,143.8973149,146.3861597,132.2401494,147.7038831,109.5620616,122.4153443,106.7442384
T13,114.6087051,98.04064577,135.0756571,99.78203274,148.3696785,79.9661839,104.3880681,113.0713467,73.64604974,82.65925754,113.0047498,81.53582747,97.6839643,93.42389524,103.1190874,84.93647375,104.5867627,106.941126,100.3783244,83.16880868,92.03810066,69.9791559,91.85496844,117.4115166,87.30942721,88.08352351,91.74626029,119.8104497,114.7881734,108.5917793,86.55235818,129.6615069,101.564338,132.3371838,114.0435741,94.14198322,121.6583986,114.0321506,98.09880925,162.8028649,128.0757526,113.0403995,96.98557123,98.40622858,96.87465051,93.7516453,128.8984805,139.590977,71.91056572,147.3016924,108.8306889,102.6779088,102.9350262,84.97367598,145.3081079,114.8544074,87.17657915,106.0413573,106.6525461,113.1097473,119.2917459,88.81295385,120.6412525,70.16377387,144.6120725,79.21856071,97.97195879,111.258843,97.03333142,118.135894,140.9016458,117.8720216,93.25186371,131.3779218,81.5106605
T16,101.4674167,88.08146297,94.34676919,124.3612539,93.25287626,93.49651094,86.53763425,115.061208,107.2274448,141.6716854,125.5659868,100.1410804,92.15208061,110.644794,101.1895387,108.5506688,99.41578411,93.35919596,98.38791298,92.21860135,97.40712294,92.72615565,99.73014476,92.45915817,82.69552683,97.33394074,80.79500155,90.21132185,108.7542401,90.75748141,94.59817787,112.5754722,101.0954638,115.295466,98.86790513,109.6288535,104.1451178,124.2483243,87.30246436,101.1583489,98.79749983,79.10898191,118.913781,97.78294758,94.44982995,78.58541444,92.77456458,86.57045741,62.61830365,105.3068609,74.70492335,76.09706047,108.7739469,81.07846335,75.50285398,85.72728117,76.92164719,75.10868648,65.35813031,76.54557623,87.3612531,72.03107671,74.83869802,66.96697342,91.75286339,76.62813746,82.25412674,72.24338436,83.234107,92.39147823,82.21752944,105.3352062,106.7149973,93.9229656,138.2272929
T19,107.6732321,87.94961335,80.5295428,85.49237561,93.69099952,98.92246014,82.43418966,92.47561796,89.28444841,84.83676591,102.1451131,94.95179334,94.84288824,87.33424491,130.0339004,93.95743814,91.88277347,95.33418634,112.9135052,110.9756742,103.1406856,95.23826313,98.6375574,113.4520228,94.48355052,112.3864995,106.9535448,101.2140748,137.3230857,120.0580409,115.4295734,151.7242231,138.1667023,123.7564522,103.2253359,126.2199387,109.2971041,120.1908336,98.83696836,108.2066702,101.9448804,104.1178236,114.4394103,101.9579693,107.9028699,99.30819629,123.4557319,137.3030571,134.6048443,119.8268642,101.8268465,102.6715486,99.8439632,119.418959,119.7047187,121.0782245,101.2880362,110.7531683,105.5333535,101.9973586,121.979272,99.28204846,107.3527897,96.42262405,105.8677851,106.3378981,122.1719968,96.16756599,82.70139099,117.1398245,106.1174876,101.6552296,105.1243679,109.3743598,103.9545445
P10,71.25789712,85.93626234,96.88524415,82.08148651,126.7526839,100.3623237,113.298521,82.96096532,89.64473855,91.64440949,107.9100913,99.9747709,88.59209237,112.2554524,90.47229263,85.07908252,110.0502378,92.6267262,95.07680645,96.03756615,88.68566241,91.68844523,86.75850423,97.03781999,133.1171692,95.1207048,88.50727756,106.2212911,122.6749334,169.0776102,193.4794014,215.0982125,205.2939166,260.3835071,308.4966905,182.0044465,261.9800399,218.0834379,166.0636424,232.4559225,194.4068487,192.2509256,186.055085,185.8141374,132.6916108,140.7957876,132.2598227,151.8071754,151.9753834,150.1484221,136.3112168,143.9794569,117.3757255,134.9606027,113.5400945,116.3978072,132.0582179,128.7016069,115.2602135,142.9267477,162.5433772,128.0882624,87.28095148,117.1872094,211.9738306,101.5599353,83.05321669,130.5229415,103.2476996,96.34518564,90.7126996,117.5599352,106.2218,135.5448323,155.7405932
P13,76.54389212,76.54042036,74.9287097,97.43312047,90.06149489,76.91257201,86.62779352,61.23087537,89.69337964,125.860057,153.0115031,140.6523786,89.58763352,111.0071154,93.0882389,118.0406334,105.0313758,98.26209299,92.15392001,91.24915999,93.5415419,95.40728513,98.95984487,92.54989451,106.3865595,104.8730462,105.347738,96.59772355,116.6148577,139.8504662,181.2903825,137.4559966,126.3719016,183.0758835,136.5459698,202.6771249,145.2548649,132.753825,145.200176,198.4899957,169.9066916,198.3124619,152.9086408,138.137309,143.9956259,137.7965349,137.9244728,198.6526636,106.3264664,116.3710975,105.3061458,102.7185424,83.14090218,84.9985953,106.5156411,96.7558805,112.5180282,97.73377674,124.7596614,165.3100967,142.2505733,115.732133,129.4760719,146.577749,163.605007,144.0822916,114.0675634,135.9569869,168.5502063,162.3869513,155.0303294,144.6120346,145.7154858,179.7585441,224.0597406
